onset	duration	isError	targetForce	forceLevel	speedLevel	targetSpeed	numPress
  6.501	6	1	2.5	L	M	10	 9
 14.501	6	1	2.5	L	M	10	 9
 22.502	6	1	2.5	L	L	 6	 6
   30.5	6	1	  6	M	L	 6	 2
 38.501	6	1	2.5	L	L	 6	 6
 46.501	6	1	 10	H	L	 6	 3
   54.5	6	1	2.5	L	L	 6	10
 62.502	6	1	2.5	L	H	18	13
 70.501	6	1	2.5	L	H	18	13
 78.501	6	0	  6	M	L	 6	 6
 98.501	6	1	2.5	L	H	18	17
  106.5	6	1	2.5	L	M	10	10
114.501	6	0	 10	H	L	 6	 6
134.501	6	1	2.5	L	L	 6	 8
  142.5	6	1	2.5	L	H	18	16
  162.5	6	0	 10	H	L	 6	 6
170.501	6	0	2.5	L	M	10	10
  178.5	6	0	 10	H	L	 6	 6
  186.5	6	0	 10	H	L	 6	 6
194.502	6	0	2.5	L	L	 6	 6
  202.5	6	0	  6	M	L	 6	 6
210.502	6	0	2.5	L	M	10	10
218.501	6	0	  6	M	L	 6	 6
238.501	6	1	  6	M	L	 6	 6
  246.5	6	1	2.5	L	H	18	18
