onset	duration	isError	targetForce	forceLevel	speedLevel	targetSpeed	numPress
  6.501	6	1	2.5	L	M	10	 6
 14.501	6	1	2.5	L	M	10	11
 22.501	6	0	2.5	L	L	 6	 6
 30.502	6	0	  6	M	L	 6	 6
 38.501	6	1	2.5	L	L	 6	 6
   46.5	6	0	 10	H	L	 6	 6
   54.5	6	1	2.5	L	L	 6	 8
 62.501	6	1	2.5	L	H	18	14
 70.501	6	1	2.5	L	H	18	14
 78.502	6	0	  6	M	L	 6	 6
 98.501	6	1	2.5	L	H	18	17
  106.5	6	0	2.5	L	M	10	10
  114.5	6	0	 10	H	L	 6	 6
134.501	6	1	2.5	L	L	 6	 6
  142.5	6	0	2.5	L	H	18	18
162.501	6	0	 10	H	L	 6	 6
170.502	6	1	2.5	L	M	10	10
  178.5	6	0	 10	H	L	 6	 6
  186.5	6	0	 10	H	L	 6	 6
194.501	6	1	2.5	L	L	 6	 6
202.502	6	0	  6	M	L	 6	 6
  210.5	6	1	2.5	L	M	10	11
  218.5	6	0	  6	M	L	 6	 6
238.501	6	0	  6	M	L	 6	 6
246.501	6	0	2.5	L	H	18	18
