onset	duration	isError	targetForce	forceLevel	speedLevel	targetSpeed	numPress
    6.5	6	1	2.5	L	M	10	10
 14.502	6	1	2.5	L	M	10	11
   22.5	6	0	2.5	L	L	 6	 6
   30.5	6	0	  6	M	L	 6	 6
 38.501	6	1	2.5	L	L	 6	 6
 46.501	6	0	 10	H	L	 6	 6
 54.501	6	0	2.5	L	L	 6	 6
 62.502	6	1	2.5	L	H	18	17
 70.501	6	0	2.5	L	H	18	18
   78.5	6	0	  6	M	L	 6	 6
 98.501	6	0	2.5	L	H	18	18
106.501	6	0	2.5	L	M	10	10
114.501	6	0	 10	H	L	 6	 6
  134.5	6	0	2.5	L	L	 6	 6
142.501	6	0	2.5	L	H	18	18
162.501	6	0	 10	H	L	 6	 6
170.502	6	0	2.5	L	M	10	10
178.501	6	0	 10	H	L	 6	 6
186.502	6	0	 10	H	L	 6	 6
194.501	6	0	2.5	L	L	 6	 6
  202.5	6	1	  6	M	L	 6	 6
  210.5	6	0	2.5	L	M	10	10
218.501	6	0	  6	M	L	 6	 6
  238.5	6	0	  6	M	L	 6	 6
246.501	6	0	2.5	L	H	18	18
  6.501	6	1	2.5	L	L	 6	 7
   26.5	6	0	 10	H	L	 6	 6
 34.501	6	0	2.5	L	L	 6	 6
 42.501	6	1	2.5	L	H	18	19
 50.501	6	0	2.5	L	M	10	10
 58.501	6	1	  6	M	L	 6	 6
 66.501	6	0	 10	H	L	 6	 6
 74.501	6	0	 10	H	L	 6	 6
 82.501	6	0	  6	M	L	 6	 6
 90.501	6	1	2.5	L	H	18	20
110.501	6	1	  6	M	L	 6	 7
118.502	6	1	2.5	L	M	10	11
126.501	6	0	 10	H	L	 6	 6
134.501	6	0	2.5	L	M	10	10
142.501	6	1	2.5	L	H	18	19
150.501	6	1	2.5	L	L	 6	11
158.501	6	1	2.5	L	H	18	17
178.502	6	0	2.5	L	M	10	10
198.502	6	0	2.5	L	M	10	10
  206.5	6	0	  6	M	L	 6	 6
  214.5	6	0	2.5	L	L	 6	 6
222.502	6	0	  6	M	L	 6	 6
230.501	6	1	2.5	L	H	18	18
  238.5	6	0	 10	H	L	 6	 6
246.501	6	0	2.5	L	L	 6	 6
   18.5	6	0	  6	M	L	 6	 6
   26.5	6	1	2.5	L	L	 6	 7
   34.5	6	1	2.5	L	H	18	18
   42.5	6	1	2.5	L	L	 6	 7
   50.5	6	0	  6	M	L	 6	 6
   58.5	6	0	  6	M	L	 6	 6
   66.5	6	1	2.5	L	H	18	21
   74.5	6	0	2.5	L	M	10	10
 94.502	6	1	2.5	L	H	18	18
  102.5	6	0	2.5	L	M	10	10
  110.5	6	0	2.5	L	M	10	10
  118.5	6	0	 10	H	L	 6	 6
  126.5	6	0	 10	H	L	 6	 6
  134.5	6	1	  6	M	L	 6	 6
  142.5	6	0	 10	H	L	 6	 6
  150.5	6	0	 10	H	L	 6	 6
  158.5	6	1	2.5	L	H	18	20
  166.5	6	0	  6	M	L	 6	 6
  186.5	6	1	2.5	L	L	 6	 7
  194.5	6	1	2.5	L	M	10	13
  202.5	6	1	2.5	L	H	18	16
  222.5	6	0	2.5	L	L	 6	 6
  230.5	6	1	2.5	L	L	 6	 7
  238.5	6	0	2.5	L	M	10	10
  246.5	6	0	 10	H	L	 6	 6
   18.5	6	1	2.5	L	L	 6	 8
   26.5	6	1	2.5	L	M	10	 9
   34.5	6	0	  6	M	L	 6	 6
   42.5	6	0	2.5	L	L	 6	 6
 50.501	6	1	2.5	L	H	18	18
   58.5	6	0	 10	H	L	 6	 6
   66.5	6	1	2.5	L	H	18	19
   74.5	6	1	  6	M	L	 6	 7
   82.5	6	1	  6	M	L	 6	 7
   90.5	6	0	 10	H	L	 6	 6
   98.5	6	1	2.5	L	H	18	20
  106.5	6	1	2.5	L	H	18	16
  114.5	6	1	2.5	L	M	10	11
  122.5	6	0	2.5	L	L	 6	 6
  130.5	6	0	  6	M	L	 6	 6
138.502	6	0	 10	H	L	 6	 6
  158.5	6	1	 10	H	L	 6	 7
166.501	6	0	2.5	L	L	 6	 6
  174.5	6	0	2.5	L	M	10	10
  194.5	6	1	  6	M	L	 6	 9
  202.5	6	1	2.5	L	H	18	16
  222.5	6	1	 10	H	L	 6	 8
  230.5	6	0	2.5	L	L	 6	 6
  238.5	6	1	2.5	L	M	10	13
  246.5	6	0	2.5	L	M	10	10
    6.5	6	1	2.5	L	H	18	15
   14.5	6	0	2.5	L	H	18	18
   34.5	6	0	  6	M	L	 6	 6
   42.5	6	0	 10	H	L	 6	 6
 50.502	6	1	2.5	L	H	18	18
   70.5	6	1	 10	H	L	 6	 7
   78.5	6	0	 10	H	L	 6	 6
   86.5	6	1	2.5	L	M	10	13
   94.5	6	1	2.5	L	H	18	19
  102.5	6	0	2.5	L	M	10	10
  110.5	6	0	2.5	L	L	 6	 6
  118.5	6	0	  6	M	L	 6	 6
  126.5	6	0	  6	M	L	 6	 6
  146.5	6	1	  6	M	L	 6	 7
  166.5	6	1	2.5	L	L	 6	10
  174.5	6	1	2.5	L	M	10	13
  182.5	6	0	 10	H	L	 6	 6
  190.5	6	1	  6	M	L	 6	 8
  198.5	6	1	2.5	L	L	 6	10
  206.5	6	1	2.5	L	L	 6	 7
  214.5	6	1	2.5	L	M	10	11
  222.5	6	1	 10	H	L	 6	 7
  230.5	6	1	2.5	L	H	18	23
  238.5	6	0	2.5	L	L	 6	 6
  246.5	6	0	2.5	L	M	10	10
