onset	duration	isError	targetForce	forceLevel	speedLevel	targetSpeed	numPress
  6.501	6	1	2.5	L	M	10	11
   14.5	6	1	2.5	L	M	10	10
 22.501	6	1	2.5	L	L	 6	 6
 30.501	6	0	  6	M	L	 6	 6
 38.501	6	0	2.5	L	L	 6	 6
 46.501	6	0	 10	H	L	 6	 6
 54.501	6	0	2.5	L	L	 6	 6
 62.501	6	1	2.5	L	H	18	17
 70.501	6	1	2.5	L	H	18	18
 78.501	6	0	  6	M	L	 6	 6
 98.501	6	1	2.5	L	H	18	18
106.501	6	0	2.5	L	M	10	10
114.501	6	0	 10	H	L	 6	 6
134.501	6	0	2.5	L	L	 6	 6
142.502	6	1	2.5	L	H	18	18
162.501	6	0	 10	H	L	 6	 6
170.501	6	0	2.5	L	M	10	10
178.501	6	0	 10	H	L	 6	 6
186.501	6	0	 10	H	L	 6	 6
194.501	6	1	2.5	L	L	 6	 6
202.501	6	0	  6	M	L	 6	 6
210.501	6	1	2.5	L	M	10	10
218.501	6	0	  6	M	L	 6	 6
238.502	6	0	  6	M	L	 6	 6
246.501	6	1	2.5	L	H	18	17
    6.5	6	0	2.5	L	L	 6	 6
   26.5	6	1	 10	H	L	 6	 5
 34.501	6	0	2.5	L	L	 6	 6
   42.5	6	1	2.5	L	H	18	18
   50.5	6	1	2.5	L	M	10	10
   58.5	6	0	  6	M	L	 6	 6
   66.5	6	0	 10	H	L	 6	 6
   74.5	6	0	 10	H	L	 6	 6
   82.5	6	0	  6	M	L	 6	 6
   90.5	6	1	2.5	L	H	18	18
  110.5	6	0	  6	M	L	 6	 6
  118.5	6	1	2.5	L	M	10	10
  126.5	6	0	 10	H	L	 6	 6
  134.5	6	0	2.5	L	M	10	10
  142.5	6	0	2.5	L	H	18	18
  150.5	6	0	2.5	L	L	 6	 6
  158.5	6	1	2.5	L	H	18	18
  178.5	6	0	2.5	L	M	10	10
  198.5	6	0	2.5	L	M	10	10
  206.5	6	0	  6	M	L	 6	 6
  214.5	6	0	2.5	L	L	 6	 6
  222.5	6	0	  6	M	L	 6	 6
  230.5	6	1	2.5	L	H	18	18
  238.5	6	0	 10	H	L	 6	 6
  246.5	6	0	2.5	L	L	 6	 6
