onset	duration	isError	targetForce	forceLevel	speedLevel	targetSpeed	numPress
  6.501	6	0	2.5	L	M	10	10
   14.5	6	0	2.5	L	M	10	10
 22.501	6	1	2.5	L	L	 6	 6
 30.502	6	0	  6	M	L	 6	 6
 38.501	6	0	2.5	L	L	 6	 6
 46.501	6	0	 10	H	L	 6	 6
 54.501	6	0	2.5	L	L	 6	 6
   62.5	6	1	2.5	L	H	18	18
   70.5	6	1	2.5	L	H	18	18
 78.501	6	0	  6	M	L	 6	 6
 98.502	6	1	2.5	L	H	18	18
106.501	6	0	2.5	L	M	10	10
114.501	6	1	 10	H	L	 6	 5
134.501	6	0	2.5	L	L	 6	 6
  142.5	6	1	2.5	L	H	18	18
  162.5	6	0	 10	H	L	 6	 6
  170.5	6	1	2.5	L	M	10	10
  178.5	6	0	 10	H	L	 6	 6
186.501	6	0	 10	H	L	 6	 6
194.501	6	0	2.5	L	L	 6	 6
202.501	6	0	  6	M	L	 6	 6
210.501	6	0	2.5	L	M	10	10
218.502	6	0	  6	M	L	 6	 6
238.501	6	0	  6	M	L	 6	 6
246.502	6	1	2.5	L	H	18	18
