onset	duration	isError	targetForce	forceLevel	speedLevel	targetSpeed	numPress
    6.5	6	0	2.5	L	M	10	10
   14.5	6	0	2.5	L	M	10	10
   22.5	6	1	2.5	L	L	 6	 6
   30.5	6	0	  6	M	L	 6	 6
   38.5	6	0	2.5	L	L	 6	 6
   46.5	6	0	 10	H	L	 6	 6
   54.5	6	0	2.5	L	L	 6	 6
   62.5	6	1	2.5	L	H	18	18
   70.5	6	1	2.5	L	H	18	17
   78.5	6	0	  6	M	L	 6	 6
   98.5	6	1	2.5	L	H	18	19
  106.5	6	0	2.5	L	M	10	10
  114.5	6	0	 10	H	L	 6	 6
  134.5	6	0	2.5	L	L	 6	 6
  142.5	6	1	2.5	L	H	18	17
  162.5	6	0	 10	H	L	 6	 6
170.502	6	1	2.5	L	M	10	10
  178.5	6	0	 10	H	L	 6	 6
  186.5	6	0	 10	H	L	 6	 6
  194.5	6	1	2.5	L	L	 6	 6
  202.5	6	0	  6	M	L	 6	 6
  210.5	6	0	2.5	L	M	10	10
  218.5	6	0	  6	M	L	 6	 6
  238.5	6	0	  6	M	L	 6	 6
  246.5	6	0	2.5	L	H	18	18
  6.502	6	0	2.5	L	L	 6	 6
   26.5	6	0	 10	H	L	 6	 6
   34.5	6	1	2.5	L	L	 6	 6
 42.501	6	1	2.5	L	H	18	18
   50.5	6	1	2.5	L	M	10	10
 58.502	6	0	  6	M	L	 6	 6
 66.501	6	0	 10	H	L	 6	 6
   74.5	6	0	 10	H	L	 6	 6
   82.5	6	0	  6	M	L	 6	 6
   90.5	6	1	2.5	L	H	18	18
  110.5	6	0	  6	M	L	 6	 6
  118.5	6	1	2.5	L	M	10	10
  126.5	6	0	 10	H	L	 6	 6
  134.5	6	1	2.5	L	M	10	10
142.501	6	1	2.5	L	H	18	17
150.501	6	0	2.5	L	L	 6	 6
158.502	6	1	2.5	L	H	18	18
  178.5	6	0	2.5	L	M	10	10
  198.5	6	0	2.5	L	M	10	10
  206.5	6	0	  6	M	L	 6	 6
214.501	6	0	2.5	L	L	 6	 6
  222.5	6	0	  6	M	L	 6	 6
230.501	6	1	2.5	L	H	18	19
238.502	6	0	 10	H	L	 6	 6
  246.5	6	0	2.5	L	L	 6	 6
 18.501	6	0	  6	M	L	 6	 6
 26.501	6	0	2.5	L	L	 6	 6
 34.501	6	1	2.5	L	H	18	18
   42.5	6	0	2.5	L	L	 6	 6
 50.501	6	0	  6	M	L	 6	 6
 58.501	6	0	  6	M	L	 6	 6
 66.501	6	1	2.5	L	H	18	18
 74.501	6	0	2.5	L	M	10	10
 94.502	6	1	2.5	L	H	18	18
102.501	6	1	2.5	L	M	10	10
110.501	6	0	2.5	L	M	10	10
  118.5	6	0	 10	H	L	 6	 6
126.501	6	0	 10	H	L	 6	 6
134.501	6	0	  6	M	L	 6	 6
142.502	6	0	 10	H	L	 6	 6
  150.5	6	0	 10	H	L	 6	 6
158.502	6	1	2.5	L	H	18	18
  166.5	6	1	  6	M	L	 6	 6
186.501	6	0	2.5	L	L	 6	 6
194.501	6	0	2.5	L	M	10	10
202.501	6	1	2.5	L	H	18	18
222.501	6	0	2.5	L	L	 6	 6
  230.5	6	0	2.5	L	L	 6	 6
  238.5	6	0	2.5	L	M	10	10
  246.5	6	0	 10	H	L	 6	 6
 18.502	6	0	2.5	L	L	 6	 6
 26.501	6	0	2.5	L	M	10	10
 34.502	6	0	  6	M	L	 6	 6
 42.501	6	0	2.5	L	L	 6	 6
 50.501	6	1	2.5	L	H	18	18
 58.501	6	0	 10	H	L	 6	 6
 66.501	6	1	2.5	L	H	18	18
 74.501	6	0	  6	M	L	 6	 6
 82.501	6	0	  6	M	L	 6	 6
   90.5	6	0	 10	H	L	 6	 6
 98.502	6	1	2.5	L	H	18	18
  106.5	6	1	2.5	L	H	18	18
114.502	6	1	2.5	L	M	10	10
122.502	6	1	2.5	L	L	 6	 6
130.501	6	0	  6	M	L	 6	 6
138.501	6	1	 10	H	L	 6	 6
158.501	6	0	 10	H	L	 6	 6
166.501	6	0	2.5	L	L	 6	 6
174.502	6	0	2.5	L	M	10	10
194.501	6	0	  6	M	L	 6	 6
202.501	6	1	2.5	L	H	18	18
222.502	6	0	 10	H	L	 6	 6
  230.5	6	1	2.5	L	L	 6	 6
  238.5	6	1	2.5	L	M	10	10
246.502	6	1	2.5	L	M	10	10
    6.5	6	1	2.5	L	H	18	18
   14.5	6	1	2.5	L	H	18	18
   34.5	6	0	  6	M	L	 6	 6
   42.5	6	0	 10	H	L	 6	 6
 50.502	6	1	2.5	L	H	18	18
   70.5	6	0	 10	H	L	 6	 6
   78.5	6	0	 10	H	L	 6	 6
   86.5	6	1	2.5	L	M	10	10
   94.5	6	1	2.5	L	H	18	18
  102.5	6	1	2.5	L	M	10	10
  110.5	6	1	2.5	L	L	 6	 6
  118.5	6	0	  6	M	L	 6	 6
  126.5	6	0	  6	M	L	 6	 6
  146.5	6	0	  6	M	L	 6	 6
  166.5	6	0	2.5	L	L	 6	 6
  174.5	6	0	2.5	L	M	10	10
182.502	6	0	 10	H	L	 6	 6
  190.5	6	0	  6	M	L	 6	 6
  198.5	6	0	2.5	L	L	 6	 6
  206.5	6	0	2.5	L	L	 6	 6
  214.5	6	0	2.5	L	M	10	10
  222.5	6	0	 10	H	L	 6	 6
  230.5	6	0	2.5	L	H	18	18
  238.5	6	1	2.5	L	L	 6	 6
  246.5	6	0	2.5	L	M	10	10
